Código ,Nombre,Código ,Nombre,Código ,Nombre,,LATITUD,LONGITUD
05,ANTIOQUIA,05001,MEDELLÍN,05001000,MEDELLÍN,CM,6.2501294879999998,-75.578630939000007
05,ANTIOQUIA,05001,MEDELLÍN,05001001,PALMITAS,CP,6.343328692,-75.690038969
05,ANTIOQUIA,05001,MEDELLÍN,05001004,SANTA ELENA,CP,6.2097654699999998,-75.501847768000005
05,ANTIOQUIA,05001,MEDELLÍN,05001009,ALTAVISTA,CP,6.2204912649999997,-75.644558896000007
05,ANTIOQUIA,05001,MEDELLÍN,05001010,AGUAS FRÍAS,CP,6.2326650089999998,-75.635260574
05,ANTIOQUIA,05001,MEDELLÍN,05001013,SAN JOSÉ DEL MANZANILLO,CP,6.2059923829999999,-75.613253718999999
05,ANTIOQUIA,05001,MEDELLÍN,05001014,BARRO BLANCO,CP,6.235210575,-75.477541755999994
05,ANTIOQUIA,05001,MEDELLÍN,05001015,EL CERRO,CP,6.2019821830000001,-75.491055978999995
05,ANTIOQUIA,05001,MEDELLÍN,05001017,EL PATIO,CP,6.277840544,-75.651110457000001
05,ANTIOQUIA,05001,MEDELLÍN,05001018,EL PLACER,CP,6.2247879670000001,-75.492970986000003
05,ANTIOQUIA,05001,MEDELLÍN,05001019,EL PLAN,CP,6.2043479030000004,-75.518361440000007
05,ANTIOQUIA,05001,MEDELLÍN,05001022,LA ALDEA,CP,6.3424213109999998,-75.703422993000004
05,ANTIOQUIA,05001,MEDELLÍN,05001023,LA CUCHILLA,CP,6.2935134939999999,-75.653560103999993
05,ANTIOQUIA,05001,MEDELLÍN,05001025,LA PALMA,CP,6.2734060989999998,-75.648076504000002
05,ANTIOQUIA,05001,MEDELLÍN,05001027,LAS PLAYAS,CP,6.2844557339999998,-75.649303427999996
05,ANTIOQUIA,05001,MEDELLÍN,05001029,PIEDRA GORDA,CP,6.234886404,-75.498185078999995
05,ANTIOQUIA,05001,MEDELLÍN,05001031,POTRERITO,CP,6.1830798949999997,-75.667915769999993
05,ANTIOQUIA,05001,MEDELLÍN,05001032,TRAVESÍAS,CP,6.2870356469999997,-75.643112772999999
05,ANTIOQUIA,05001,MEDELLÍN,05001033,URQUITA,CP,,
05,ANTIOQUIA,05001,MEDELLÍN,05001035,BOQUERÓN,CP,6.3158675559999997,-75.657850764000003
05,ANTIOQUIA,05001,MEDELLÍN,05001039,EL LLANO 1,CP,6.2945843400000001,-75.649476433999993
05,ANTIOQUIA,05001,MEDELLÍN,05001040,EL LLANO,CP,6.1983120610000002,-75.503296007000003
05,ANTIOQUIA,05001,MEDELLÍN,05001048,LA VERDE,CP,6.1899576100000004,-75.639003699
05,ANTIOQUIA,05001,MEDELLÍN,05001052,MATASANO,CP,6.2588623730000004,-75.493577514999998
05,ANTIOQUIA,05001,MEDELLÍN,05001054,MATASANO 2,CP,6.2673108879999999,-75.505442602000002
05,ANTIOQUIA,05001,MEDELLÍN,05001055,MAZO,CP,6.2483199120000004,-75.498723369999993
05,ANTIOQUIA,05001,MEDELLÍN,05001057,MEDIA LUNA,CP,6.2402392339999997,-75.515957610000001
05,ANTIOQUIA,05001,MEDELLÍN,05001066,LAS CAMELIAS,CP,6.1967293620000001,-75.643377357000006
05,ANTIOQUIA,05002,ABEJORRAL,05002000,ABEJORRAL,CM,5.7893150010000003,-75.428738511999995
05,ANTIOQUIA,05002,ABEJORRAL,05002002,PANTANILLO,CP,5.7302560050000002,-75.490787443000002
