Aglomeración,SC Función ciudades,Departamento,Municipio,Divipola,AÑO,CV-01-1
A-Medellín,Centro aglomeración,Antioquia,Medellín,5001,2018,2529403
Fuera SC,Fuera SC,Antioquia,Abejorral,5002,2018,18991
Fuera SC,Fuera SC,Antioquia,Abriaquí,5004,2018,1971
Fuera SC,Fuera SC,Antioquia,Alejandría,5021,2018,3361
Fuera SC,Fuera SC,Antioquia,Amagá,5030,2018,30181
Fuera SC,Fuera SC,Antioquia,Amalfi,5031,2018,22567
Fuera SC,Fuera SC,Antioquia,Andes,5034,2018,47003
Fuera SC,Fuera SC,Antioquia,Angelópolis,5036,2018,9353
Fuera SC,Fuera SC,Antioquia,Angostura,5038,2018,11040
Fuera SC,Fuera SC,Antioquia,Anorí,5040,2018,17737
Fuera SC,Fuera SC,Antioquia,Santafé de Antioquia,5042,2018,25067
Fuera SC,Fuera SC,Antioquia,Anzá,5044,2018,7601
SA-Apartadó-Turbo,Uninodal,Antioquia,Apartadó,5045,2018,195068
Fuera SC,Fuera SC,Antioquia,Arboletes,5051,2018,43416
Fuera SC,Fuera SC,Antioquia,Argelia,5055,2018,8306
Fuera SC,Fuera SC,Antioquia,Armenia,5059,2018,3945
A-Medellín,En aglomeración,Antioquia,Barbosa,5079,2018,52395
Fuera SC,Fuera SC,Antioquia,Belmira,5086,2018,6930
A-Medellín,En aglomeración,Antioquia,Bello,5088,2018,482287
Fuera SC,Fuera SC,Antioquia,Betania,5091,2018,8976
Fuera SC,Fuera SC,Antioquia,Betulia,5093,2018,17726
Fuera SC,Fuera SC,Antioquia,Ciudad Bolívar,5101,2018,26698
Fuera SC,Fuera SC,Antioquia,Briceño,5107,2018,8673
Fuera SC,Fuera SC,Antioquia,Buriticá,5113,2018,6495
Fuera SC,Fuera SC,Antioquia,Cáceres,5120,2018,41012
Fuera SC,Fuera SC,Antioquia,Caicedo,5125,2018,8396
A-Medellín,En aglomeración,Antioquia,Caldas,5129,2018,80528
Fuera SC,Fuera SC,Antioquia,Campamento,5134,2018,8915
Fuera SC,Fuera SC,Antioquia,Cañasgordas,5138,2018,16737
Fuera SC,Fuera SC,Antioquia,Caracolí,5142,2018,4519
Fuera SC,Fuera SC,Antioquia,Caramanta,5145,2018,5308
Fuera SC,Fuera SC,Antioquia,Carepa,5147,2018,60141
A-Rionegro,En aglomeración,Antioquia,El Carmen de Viboral,5148,2018,48498
Fuera SC,Fuera SC,Antioquia,Carolina,5150,2018,3512
SA-Otros SC,Uninodal,Antioquia,Caucasia,5154,2018,120479
Fuera SC,Fuera SC,Antioquia,Chigorodó,5172,2018,82151
Fuera SC,Fuera SC,Antioquia,Cisneros,5190,2018,8869
Fuera SC,Fuera SC,Antioquia,Cocorná,5197,2018,14924
Fuera SC,Fuera SC,Antioquia,Concepción,5206,2018,3194
Fuera SC,Fuera SC,Antioquia,Concordia,5209,2018,20371
A-Medellín,En aglomeración,Antioquia,Copacabana,5212,2018,72735
Fuera SC,Fuera SC,Antioquia,Dabeiba,5234,2018,23068
Fuera SC,Fuera SC,Antioquia,Don Matías,5237,2018,23709
Fuera SC,Fuera SC,Antioquia,Ebéjico,5240,2018,12489
Fuera SC,Fuera SC,Antioquia,El Bagre,5250,2018,50557
Fuera SC,Fuera SC,Antioquia,Entrerríos,5264,2018,10404
A-Medellín,En aglomeración,Antioquia,Envigado,5266,2018,238221
Fuera SC,Fuera SC,Antioquia,Fredonia,5282,2018,21142
Fuera SC,Fuera SC,Antioquia,Frontino,5284,2018,15703
Fuera SC,Fuera SC,Antioquia,Giraldo,5306,2018,3977
A-Medellín,En aglomeración,Antioquia,Girardota,5308,2018,58030
Fuera SC,Fuera SC,Antioquia,Gómez Plata,5310,2018,13266
Fuera SC,Fuera SC,Antioquia,Granada,5313,2018,9881
Fuera SC,Fuera SC,Antioquia,Guadalupe,5315,2018,6318
A-Rionegro,En aglomeración,Antioquia,Guarne,5318,2018,50401
Fuera SC,Fuera SC,Antioquia,Guatapé,5321,2018,5097
Fuera SC,Fuera SC,Antioquia,Heliconia,5347,2018,5690
Fuera SC,Fuera SC,Antioquia,Hispania,5353,2018,4885
A-Medellín,En aglomeración,Antioquia,Itagüí,5360,2018,276916
Fuera SC,Fuera SC,Antioquia,Ituango,5361,2018,19919
Fuera SC,Fuera SC,Antioquia,Jardín,5364,2018,13516
Fuera SC,Fuera SC,Antioquia,Jericó,5368,2018,11852
